id,name,level,score

3592156379,Tim,2,120

939721135,Jordan,1,124

2451718689,Dee,5,860
4054658507,Dee,1,0
3647333049,Dee,1,0
3983080342,Dee,1,0
3983080342,Dee,1,0
2373172839,Dee,1,0
2373172839,Dee,1,0
3685599198,Dee,1,0
272482841,Dee,1,0
272482841,Dee,1,0
2883580804,Dee,4,440
2883580804,Dee,6,2600
3108477541,Dee,3,200
3257032938,Dee,1,0
466912845,Dee,1,0
3061537696,Dee,1,0
3520804047,Dee,1,0
3520804047,Dee,1,0
3520804047,Dee,1,0
3806845366,Dee,1,0
3806845366,Dee,1,0
3806845366,Dee,1,0
801937159,Dee,1,0
1397220482,Dee,1,0
3179206234,Dee,1,0
740792928,Dee,1,0
3408158691,Dee,1,0
3408158691,Dee,1,0
4102400845,Dee,1,0
1853252650,Dee,1,0
3206061449,Dee,1,0
3206061449,Dee,1,0
3206061449,Dee,1,0
3206061449,Dee,1,0
3996553637,Dee,1,0
3165051524,De,1,0
3882425261,De,1,0
2027548138,De,1,0
2027548138,De,1,0
